Organisationsid;Organisationsnummer;Organisationstyp;Giltighetstid;Kortnamn (sv);Kortnamn (en);Långnamn (sv);Långnamn (en);Webbadress
OD-203-3;035203;Avdelning;2019-05-01 - ;Akuta och kritiska tillstånd;Acute and Critical Care;Diagnostik och vård vid akuta och kritiska tillstånd;Diagnostics, Acute and Critical Care;
OD-203-4;035204;Avdelning;2019-05-01 - ;Lärande och ledarskap;Learning and Leadership;Lärande och ledarskap för hälsoprofessioner;Learning and Leadership for Health Care Professionals;
OD-213-1;035205;Avdelning;2019-09-01 - ;Reproduktiv och perinatal hälsa;Reproductive and perinatal health;Reproduktiv och perinatal hälsa;Reproductive and perinatal health;
OD-248-1;035206;Avdelning;2020-01-01 - ;KTC;KTC;KTC;KTC;
OD-248-2;035208;Avdelning;2020-01-01 - ;Administrativa enheten;Administrative unit;Administrativa enheten;Administrative unit;
OD-1-134;035300;Institution;2006-01-01 - ;Inst f biomedicin;Institute of Biomedicine;Institutionen för biomedicin;Institute of Biomedicine;www.biomedicine.gu.se
OD-1-135;035310;Avdelning;2006-01-01 - ;Avd f infektionssjukdomar;Dep of Infectious Medicine;Avd för infektionssjukdomar;Department of Infectious Diseases;
OD-1-136;035320;Avdelning;2006-01-01 - ;Avd f mikrobiologi och immunologi;Dep of Microbiology and Immunology;Avd för mikrobiologi och immunologi;Department of Microbiology and Immunology;
OD-1-137;035330;Avdelning;2006-01-01 - ;Avd f patologi;Dep of Pathology;Avd för patologi och genetik;Department of Pathology and Genetics;
OD-1-138;035340;Avdelning;2006-01-01 - ;Avd f klinisk kemi o transfusionsmed;Dep of Clin Chemistry A Transfusion;Avd för klin kemi och transfusionsmedicin;Department of Clinical Chemistry and Transfusion Medicine;
OD-1-140;035360;Avdelning;2006-01-01 - ;Avd f med kemi och cellbiologi;Dep Med Biochemistry A Cellbiology;Avd för medicinsk kemi och cellbiologi;Department of Medical Biochemistry and Cell biology;
OD-189-1;035381;Avdelning;2019-01-01 - ;Avd f Laboratoriemedicin;Avd f Laboratoriemedicin;Avdelningen för Laboratoriemedicin;Department of Laboratory Medicine;
OD-1-142;035400;Institution;2006-01-01 - ;Inst f neurovetenskap o fysiologi;Department of Clinical Neuroscience;Institutionen för neurovetenskap och fysiologi;Institute of Neuroscience and Physiology;www.neurophys.gu.se
OD-1-144;035410;Avdelning;2006-01-01 - ;Sektionen för fysiologi;Dep of Physiology;Sektionen för fysiologi;Department of Physiology;
OD-1-145;035420;Avdelning;2006-01-01 - ;Sektionen för farmakologi;Dep of Pharmacology;Sektionen för farmakologi;Department of Pharmacology;www.neurophys.gu.se/sektioner
OD-1-146;035430;Avdelning;2006-01-01 - ;Sektionen för klinisk neurovetenskap;Dep of Clinical Neuroscience;Sektionen för klinisk neurovetenskap;Department of Clinical Neuroscience;
OD-1-147;035440;Avdelning;2006-01-01 - ;Sektionen för psykiatri och neurokemi;Department of Psychiatry and Neurochemistry;Sektionen för psykiatri och neurokemi;Department of Psychiatry and Neurochemistry;
OD-1-668;035450;Avdelning;2006-01-01 - ;Sektionen för hälsa o rehabilitering;Dep of Health and Rehabilitation;Sektionen för hälsa och rehabilitering;Department of Health and Rehabilitation;
OD-1-148;035500;Institution;2006-01-01 - ;Inst f medicin;Institute of Medicine;Institutionen för medicin;Institute of Medicine;www.medicine.gu.se
OD-195-1;035501;Avdelning;2019-04-01 - ;Inst f medicin Administrativ enhet;Inst of medicine Administrative unit;Institutionen för medicin, Administrativ enhet;Institute of Medicine, Administrative unit;
OD-1-149;035510;Avdelning;2006-01-01 - ;Avd f samhällsmedicin o folkhälsa;Public Health and Community Medicine;Avd för samhällsmedicin och folkhälsa;School of Public Health and Community Medicine;
OD-1-151;035530;Avdelning;2006-01-01 - ;Avd f molekylär o klinisk medicin;Molecular and Clinical Medicine;Avd för molekylär och klinisk medicin;Department of Molecular and Clinical Medicine;
OD-1-152;035540;Avdelning;2006-01-01 - ;Avdelningen för reumatologi och infl;Rheumatology A Inflammation Research;Avd för reumatologi och inflammationsforskning;Department of Rheumatology and Inflammation Research;
OD-1-153;035550;Avdelning;2006-01-01 - ;Avd f invärtesmed o klin nutr;Internal Medicine Clinical Nutrition;Avd för invärtesmedicin och klinisk nutrition;Department of Internal Medicine and Clinical Nutrition;
OD-1-154;035600;Institution;2006-01-01 - ;Institutionen f kliniska vetenskaper;Institute of Clinical Sciences;Institutionen för kliniska vetenskaper;Institute of Clinical Sciences;www.clinsci.gu.se
OD-1-155;035611;Avdelning;2006-01-01 - ;Avd för obstetrik och gynekologi;Obstetrics and Gynecology;Avd för obstetrik och gynekologi;Department of Obstetrics and Gynecology;
OD-1-156;035612;Avdelning;2006-01-01 - ;Avdelningen för pediatrik;Pediatrics;Avd för pediatrik;Department of Pediatrics;
OD-1-157;035614;Avdelning;2006-01-01 - ;Avd f dermatologi och venereologi;Dermatology and Venereology;Avd för dermatologi och venereologi;Department of Dermatology and Venereology;
OD-1-158;035615;Avdelning;2006-01-01 - ;Avdelningen för radiologi;Radiology;Avd för radiologi;Department of Radiology;
OD-1-159;035616;Avdelning;2006-01-01 - ;Avdelningen för onkologi;Oncology;Avd för onkologi;Department of Oncology;
OD-1-160;035617;Avdelning;2006-01-01 - ;Avd för medicinsk strålningsvetenskap;Medical Radiation Sciences;Avd för medicinsk strålningsvetenskap;Department of  Medical Radiation Sciences;
OD-1-161;035618;Avdelning;2006-01-01 - ;Avd f öron- näs- och halssjukdomar;Otorhinolaryngology;Avd för öron-, näs- och halssjukdomar;Department of Otorhinolaryngology;
OD-1-774;035619;Avdelning;2012-09-01 - ;Infocentrum för ovanliga diagnoser;Swedish Infocenter for Rare Diseases;Informationscentrum för ovanliga diagnoser;Swedish Infocenter for Rare Diseases;
OD-1-162;035621;Avdelning;2006-01-01 - ;Avd f anestesiologi o intensivvård;Anesthesiology and Intensive Care;Avd för anestesiologi och intensivvård;Department of Anesthesiology and Intensive Care;
OD-1-163;035622;Avdelning;2006-01-01 - ;Avdelningen f biomaterialvetenskap;Biomaterials;Avd för biomaterialvetenskap;Department of Biomaterials;
OD-1-164;035623;Avdelning;2006-01-01 - ;Avdelningen för kirurgi;Surgery;Avd för kirurgi;Department of Surgery;
OD-1-165;035624;Avdelning;2006-01-01 - ;Avdelningen för ortopedi;Orthopaedics;Avd för ortopedi;Department of Orthopaedics;
OD-1-166;035625;Avdelning;2006-01-01 - ;Avdelningen för urologi;Urology;Avd för urologi;Department of Urology;
OD-1-167;035626;Avdelning;2006-01-01 - ;Avdelningen för plastikkirurgi;Plastic Surgery;Avd för plastikkirurgi;Department of Plastic Surgery;
OD-674-2;035628;Avdelning;2025-02-01 - ;Avd för transplantationskirurgi;Transplant Surgery;Avd för transplantationskirurgi;Department of Transplant Surgery;
OD-674-3;035629;Avdelning;2025-02-01 - ;Avd för barnkirurgi;Pediatric Surgery;Avd för barnkirurgi;Department of Pediatric Surgery;
OD-674-1;035631;Avdelning;2025-02-01 - ;Avd för handkirurgi;Hand Surgery;Avd för handkirurgi;Department of Hand Surgery;
OD-52-1;035800;Enhet;2017-10-01 - ;Core Facilities;Core Facilities;Core Facilities vid Sahlgrenska Akademin;Core Facilities at Sahlgrenska Academy;www.sahlgrenska.gu.se/forskning
OD-1-170;035801;Underenhet;2006-01-01 - ;EBM;EBM;Experimentell Biomedicin;Experimental Biomedicine;
OD-1-172;035803;Underenhet;2006-01-01 - ;Sambio core facilities;Core Faciliteties;Sambio Core Facilities;Core facilities;www.sahlgrenska.gu.se/forskning
OD-1-73;04;Fakultet;1998-01-01 - ;Utbildningsvetenskapliga fakulteten;Faculty of Education;Utbildningsvetenskapliga fakulteten;Faculty of Education;www.uf.gu.se
OD-1-81;042720;Enhet;1998-01-01 - ;Utbildningsvetensk fakultetskansliet;Faculty of Education, Faculty Office;Utbildningsvetenskapliga fakultetskansliet;Faculty of Education, Faculty Office;www.uf.gu.se
OD-1-705;042725;Enhet;2008-01-01 - ;PIL-enheten;Pedagogical Development;PIL Pedagogisk utveckling och interaktivt lärande;PIL Pedagogical Development & Interactive Learning;www.pil.gu.se
OD-1-919;042726;Enhet;2014-01-01 - ;Enheten för akademiskt språk;Unit for Academic Language;Enheten för akademiskt språk;Unit for Academic Language;www.ask.gu.se
OD-1-537;042910;Institution;2010-07-01 - ;IPS, pedagogik och specialped;Education and Special Education;Institutionen för pedagogik och specialpedagogik;Department of Education and Special Education;
OD-1-531;042920;Institution;2010-07-01 - ;IPKL, pedagogik, komm. och lärande;Education, Communication, Learning;Institutionen för pedagogik, kommunikation och lärande;Department of Education, Communication and Learning;
OD-1-532;042930;Institution;2010-07-01 - ;IDPP, didaktik och ped profession;Pedagogical, Curriecular, Prof Stud;Institutionen för didaktik och pedagogisk profession;Department of Pedagogical, Curricular and Professional Studies;www.idpp.gu.se
OD-276-1;042931;Avdelning;2020-09-01 - ;IDPP Ledning;Management;IDPP Ledning;Management;www.idpp.gu.se
OD-276-2;042932;Avdelning;2020-09-01 - ;IDPP Administration;Administration;IDPP Administration;Administration;www.idpp.gu.se
OD-276-3;042933;Avdelning;2020-09-01 - ;Ad/Ped arb;Ad/Ped arb;Avdelningen allmän didaktik och pedagogiskt arbete;Unit for General Didactics and Pedagogic Work;www.idpp.gu.se
OD-276-4;042934;Avdelning;2020-09-01 - ;NaTe;NaTe;Avdelningen ämnesdidaktik med inriktning naturvetenskap och teknik;Unit for Subject Matter Education with specialization in Science and Technology Education;www.idpp.gu.se
OD-276-5;042935;Avdelning;2020-09-01 - ;Matematik;Matematik;Avdelningen ämnesdidaktik med inriktning matematik;Unit for Subject Matter Education with specialization in Mathematic Education;www.idpp.gu.se
OD-276-6;042936;Avdelning;2020-09-01 - ;SO;SO;Avdelningen ämnesdidaktik med inriktning mot samhällsorienterande ämnen;Unit for Subject Matter Education with specialization in Social Studies Education;www.idpp.gu.se
OD-276-7;042937;Avdelning;2020-09-01 - ;Svenska;Svenska;Avdelningen ämnesdidaktik med inriktning svenska;Unit for Subject Matter Education with specialization in Swedish Education;www.idpp.gu.se
OD-1-533;042940;Institution;2010-07-01 - ;IKI, kost- och idrottsvetenskap;Food and Nutrition and Sport;Institutionen för kost- och idrottsvetenskap;Department of Food and Nutrition and Sport Science;www.iki.gu.se
OD-1-229;05;Fakultet;1998-01-01 - ;Humanistiska fakultetsnämnden;Faculty of Humanities;Humanistiska fakulteten;Faculty of Humanities;www.hum.gu.se
OD-1-706;051100;Institution;2009-01-01 - ;Inst för historiska studier;Department of Historical Studies;Institutionen för historiska studier;Department of Historical Studies;www.historiskastudier.gu.se
OD-1-696;051120;Institution;2009-01-01 - ;Inst för kulturvetenskaper;Dept. of Cultural Sciences;Institutionen för kulturvetenskaper;Department. of Cultural Sciences;www.kultur.gu.se
OD-272-1;051121;Avdelning;2020-07-01 - ;Avdelningen för estetik;Aesthetics Unit;Avdelningen för estetik;Aesthetics Unit;www.kultur.gu.se
OD-272-2;051122;Avdelning;2020-07-01 - ;Avdelningen för genus och kultur;Gender and Culture studies unit;Avdelningen för genus och kultur;Gender and Culture studies unit;www.kultur.gu.se
OD-272-4;051124;Avdelning;2020-07-01 - ;Kulturvetenskaper Administration;Cultural Sciences Administration;Kulturvetenskaper Administration;Cultural Sciences Administration;www.kultur.gu.se
OD-1-707;051140;Institution;2009-01-01 - ;Inst f filosofi, lingv o vetenskapst;Philosophy,linquistics,theory of Sc;Institutionen för filosofi, lingvistik och vetenskapsteori;Department of Philosophy, Linguistics, Theory of Science;www.flov.gu.se
OD-70-1;051141;Avdelning;2018-01-01 - ;Verksamhetsstöd;Administrative unit;Avdelningen för verksamhetsstöd;Administrative unit;www.flov.gu.se
OD-71-1;051142;Avdelning;2018-01-01 - ;Avdelningen för lingvistik och vetenskapsteori;Linguistics and Theory of Science unit;Avdelningen för lingvistik och vetenskapsteori;Linguistics and Theory of Science unit;www.flov.gu.se
OD-72-1;051143;Avdelning;2018-01-01 - ;Avdelningen för filosofi och logik;Philosophy and Logic unit;Avdelningen för filosofi och logik;Philosophy and Logic unit;www.flov.gu.se
OD-1-708;051150;Institution;2009-01-01 - ;Inst f litt, idehistoria o religion;Literatur,history of Ideas, Religion;Institutionen för litteratur, idéhistoria och religion;Department of Literature, History of Ideas, and Religion;www.lir.gu.se
OD-1-709;051160;Institution;2009-01-01 - ;Inst f språk o litteraturer;Dep of Languages and Literatures;Institutionen för språk och litteraturer;Department of Languages and Literatures;www.gu.se/sprak
OD-1-710;051170;Institution;2009-01-01 - ;Inst f svenska, flerspråk o språktek;Dep of Swedish, multiling, lang tech;Institutionen för svenska, flerspråkighet och språkteknologi;Department of Swedish, multilingualism, language technology;www.svenska.gu.se
OD-1-50;051930;Enhet;1998-01-01 - ;Humanistiska fakultetsnämndens kansl;Humanities Faculty Office;Humanistiska fakultetskansliet;Humanities Faculty Office;www.hum.gu.se
OD-1-51;07;Universitetsbiblioteket;1998-01-01 - ;Göteborgs universitetsbibliotek;Gothenburg University Library;Göteborgs universitetsbibliotek;Gothenburg University Library;www.ub.gu.se
OD-1-52;078000;Enhet;1998-01-01 - ;Överbibliotekarien;Library Director;Överbibliotekarien;Library Director;
OD-1-53;078001;Enhet;1999-12-01 - ;Bibliotekskansliet;Library Office;Bibliotekskansliet;Library Office;
OD-1-55;078003;Enhet;2002-05-01 - ;Digitala tjänster;Digital Services;Digitala tjänster;Digital Services;
OD-1-882;078004;Underenhet;2015-01-01 - ;Team Digitisering;Digitisation Team;Team Digitisering;Digitisation Team;
OD-1-783;078005;Underenhet;2015-01-01 - ;Team e-resurser och söksystem;Team e-resources and search systems;Team e-resurser och söksystem, Digitala Tjänster;Team e-resources and library search systems, Digital Services;
OD-1-784;078006;Underenhet;2015-01-01 - ;Team IT-utveckling;IT Development and Operations Team;Team IT-utveckling, Digitala tjänster;IT-Development and Operations team, Digital Services;
OD-1-785;078007;Underenhet;2015-01-01 - ;Team Publicering och bibliometri;Publishing and Bibliometric Services;Team Publicering och bibliometri, Digitala tjänster;Publishing and Bibliometric Services team, Digital Services;
OD-1-834;078008;Underenhet;2016-01-01 - ;Team webb och kommunikation;Team web and communication;Team webb och kommunikation, Digitala Tjänster;Team web and communication, Digital Services;
OD-1-786;078100;Enhet;2015-01-01 - ;Humanistiska biblioteken;Humanities Libraries;Humanistiska biblioteken;Humanities Libraries;
OD-1-787;078101;Underenhet;2015-01-01 - ;Team Användarservice;Team User Services;Team Användarservice, Humanistiska biblioteken;Team User Services, Humanities Libraries;
OD-1-788;078102;Underenhet;2015-01-01 - ;Team undervisning;Education Team;Team Undervisning, Humanistiska biblioteken;Education Team, Humanities Libraries;
OD-1-789;078103;Underenhet;2015-01-01 - ;Team förvärv;Acquisitions Team;Team Förvärv, Humanistiska biblioteken;Acquisitions Team, Humanities Libraries;
OD-1-790;078104;Underenhet;2015-01-01 - ;Team Katalog;Cataloguing Team;Team Katalog, Humanistiska biblioteken;Cataloguing Team, Humanities Libraries;
OD-1-791;078105;Underenhet;2015-01-01 - ;KvinnSam;KvinnSam;KvinnSam, Humanistiska biblioteken;KvinnSam, Humanities Libraries;
OD-1-857;078112;Underenhet;2015-09-21 - ;Lokal- och transportservice;English Organisation Name Missing;Lokal- och transportservice, Humanistiska biblioteken;Facility and Transportation Services, Humanities Libraries;
OD-85-1;078113;Underenhet;2018-02-01 - ;Specialsamlingar och arkiv;Special collections and archives;Specialsamlingar och arkiv, Humanistiska biblioteket;Special collections and archives, Humanities Libraries;
OD-1-798;078200;Enhet;2015-01-01 - ;Biomedicinska biblioteken;Biomedical Libraries;Biomedicinska biblioteken;Biomedical Libraries;
OD-1-799;078201;Underenhet;2015-01-01 - ;Team Användarservice;Team User Services;Team Användarservice, Biomedicinska biblioteken;Team User Services, Biomedical Libraries;
OD-1-800;078202;Underenhet;2015-01-01 - ;Team undervisning;Education Team;Team Undervisning, Biomedicinska biblioteken;Education Team, Biomedical Libraries;
OD-1-801;078203;Underenhet;2015-01-01 - ;Team Media;Media Team;Team Media, Biomedicinska biblioteken;Media Team, Biomedical Libraries;
OD-443-1;078204;Underenhet;2022-09-01 - ;Team Forskarstöd;Team Researcher Support;Team Forskarstöd, Biomedicinska biblioteken;Team Researcher Support, Biomedical Libraries;
OD-1-802;078300;Enhet;2015-01-01 - ;Samhällsvetenskapliga biblioteken;Social Sciences Libraries;Samhällsvetenskapliga biblioteken;Social Sciences Libraries;
OD-1-803;078301;Underenhet;2015-01-01 - ;Team Användarservice;Team User Services;Team Användarservice, Samhällsvetenskapliga biblioteken;Team User Services, Social Sciences Libraries;
OD-1-804;078302;Underenhet;2015-01-01 - ;Team undervisning;Education Team;Team Undervisning, Samhällsvetenskapliga biblioteken;Education Team, Social Sciences Libraries;
OD-1-805;078303;Underenhet;2015-01-01 - ;Team Media;Media Team;Team Media, Samhällsvetenskapliga biblioteken;Media Team, Social Sciences Libraries;
OD-1-806;078304;Underenhet;2015-01-01 - ;Studentmedarbetare;Student Employees;Studentmedarbetare;Student Employees;
OD-1-64;08;Fakultet;1998-01-01 - ;Konstnärliga fakulteten;The Artistic Faculty;Konstnärliga fakulteten;The Artistic Faculty;www.konst.gu.se
OD-1-276;086000;Enhet;1998-08-01 - ;Konstnärliga fakultetsstyrelsen;The Artistic Faculty Board;Konstnärliga fakultetsstyrelsen;The Artistic Faculty Board;www.konst.gu.se
OD-1-123;086120;Institution;2005-01-01 - ;Högskolan för scen och musik;Academy of Music and Drama;Högskolan för scen och musik;Academy of Music and Drama;www.hsm.gu.se
OD-509-1;086121;Avdelning;2023-09-01 - ;Musik;Music;Enheten för musik;Music;https://www.gu.se/scen-musik
OD-510-1;086122;Avdelning;2023-09-01 - ;Klassisk musik och kyrkomusik;Classical Music and Church Music;Enheten för klassisk musik och kyrkomusik;Classical Music and Church Music;https://www.gu.se/scen-musik
OD-511-1;086123;Avdelning;2023-09-01 - ;Scenkonst;Performing Arts;Enheten för scenkonst;Performing Arts;https://www.gu.se/scen-musik
OD-512-1;086124;Avdelning;2023-09-01 - ;Pedagogik;Pedagogy;Enheten för pedagogik: musik, dans och teater;Pedagogy: Music, Dance and Drama;https://www.gu.se/scen-musik
OD-513-1;086125;Avdelning;2023-09-01 - ;Tekniskt stöd Högskolan för scen och musik;Technical support;Tekniskt stöd Högskolan för scen och musik;Technical support;https://www.gu.se/scen-musik
OD-514-1;086126;Avdelning;2023-09-01 - ;Administrativt stöd Högskolan för scen och musik;Administrative support;Administrativt stöd Högskolan för scen och musik;Administrative support;https://www.gu.se/scen-musik
OD-675-1;086127;Avdelning;2025-03-01 - ;Forskarutbildning;Doctoral studies;Forskarutbildning;Doctoral studies;https://www.gu.se/scen-musik
OD-239-1;086700;Institution;2020-01-01 - ;HDK-Valand;HDK-Valand;HDK-Valand - Högskolan för konst och design;HDK-Valand - Academy of Art and Design;www.hdk-valand.gu.se
OD-239-2;086701;Avdelning;2020-01-01 - ;Design;The Design Unit;Enheten för Design;The Design Unit;www.hdk-valand.gu.se
OD-239-3;086702;Avdelning;2020-01-01 - ;Design och konsthantverk Steneby;The Design and Crafts Steneby Unit;Enheten för design och konsthantverk Steneby;The Design and Crafts Steneby Unit;www.hdk-valand.gu.se
OD-239-4;086703;Avdelning;2020-01-01 - ;Konsthantverk och fri konst;The Crafts and Fine Art Unit;Enheten för konsthantverk och fri konst;The Crafts and Fine Art Unit;www.hdk-valand.gu.se
