Organisationsid;Organisationsnummer;Organisationstyp;Giltighetstid;Kortnamn (sv);Kortnamn (en);Långnamn (sv);Långnamn (en);Webbadress
OD-1-777;909434;Underenhet;2013-01-01 - ;Planerings- och uppföljningssektion;Planning and Follow-up;Planerings- och uppföljningssektionen;Planning and Follow-up;
OD-260-1;909435;Underenhet;2020-04-01 - ;Enhetsgemensamt;Enhetsgemensamt;Sektionen för enhetsgemensamma frågor;Sektionen för enhetsgemensamma frågor;
OD-566-1;909437;Underenhet;2024-01-01 - ;Sektionen för GF ekonomi;University Administrations Finance;Sektionen för GF ekonomi;University Administrations Finance;
OD-1-905;909152;Enhet;2013-01-01 - ;Personalenhet;Human Resources;Personalenheten;Human Resources;
OD-1-821;909155;Underenhet;2013-01-01 - ;Sek f arbetsgivarfrågor;Employer Issues;Sektionen för arbetsgivarfrågor;Employer Issues;
OD-1-845;909157;Underenhet;2013-01-01 - ;Sek f arbetsmiljö o likabehandling;Work Environment and Equal Teatment;Sektionen för likabehandling, kompetensutveckling och arbetsmiljöarbete;Work Environment and Equal Treatment;
OD-1-846;909158;Underenhet;2013-01-01 - ;Sek f systemstöd;System Support;Sektionen för personalekonomi och systemstöd;Section of Staff Economics and System Support;
OD-1-909;909170;Enhet;2013-01-01 - ;Serviceenheten;Facility Services;Serviceenheten;Facility Services;
OD-415-1;909171;Underenhet;2022-05-01 - ;Servicecenter;Servicecenter;Servicecenter;Servicecenter;
OD-1-850;909172;Underenhet;2013-01-01 - ;Sek f medieteknik;Media Technology;Sektionen för medieteknik;Media Technology;
OD-1-779;909173;Underenhet;2013-01-01 - ;Sek f mötesservice;Conference Centre;Sektionen för Mötesservice;Conference Centre;www.gu.se/motesservice
OD-1-849;909175;Underenhet;2013-01-01 - ;Welcome Services;Welcome Services;Welcome Services;Welcome Services;www.gu.se/welcome
OD-1-848;909443;Underenhet;2013-01-01 - ;Campusservice Medicinareberget;Campus Service;Campusservice Medicinareberget;Campus Service Medicinareberget;www.medarbetarportalen.gu.se
OD-1-827;909444;Underenhet;2013-01-01 - ;Campusservice Haga;Campus Service;Campusservice Haga;Campus Service Haga;www.medarbetarportalen.gu.se
OD-1-778;909445;Underenhet;2013-01-01 - ;Campusservice Lorensberg;Campus Service;Campusservice Lorensberg;Campus Service Lorensberg;www.medarbetarportalen.gu.se
OD-1-911;909446;Underenhet;2013-01-01 - ;Campusservice Rosenlund;Campus Service;Campusservice Rosenlund;Campus Service Rosenlund;www.medarbetarportalen.gu.se
OD-1-886;909449;Underenhet;2016-02-01 - ;Utvecklingsstab;English Organisation Name Missing;Utvecklingsstab;Utvecklingsstab;
