Orgid;Orgnr;Förälder orgnr
OD-1-496;035550B;035550
OD-1-497;035550C;035550
OD-1-498;035550D;035550
OD-1-840;035550E;035550
OD-1-154;035600;03
OD-1-811;035600A;035600
OD-1-155;035611;035600
OD-1-156;035612;035600
OD-1-618;035612A;035612
OD-1-644;035612B;035612
OD-1-157;035614;035600
OD-1-158;035615;035600
OD-1-159;035616;035600
OD-1-160;035617;035600
OD-1-161;035618;035600
OD-1-774;035619;035600
OD-1-162;035621;035600
OD-1-163;035622;035600
OD-1-164;035623;035600
OD-1-165;035624;035600
OD-1-166;035625;035600
OD-1-167;035626;035600
OD-52-1;035800;03
OD-1-170;035801;035800
OD-1-172;035803;035800
OD-1-73;04;00
OD-1-81;042720;04
OD-1-705;042725;04
OD-1-919;042726;04
OD-1-537;042910;04
OD-267-1;042910A;042910
OD-267-2;042910B;042910
OD-267-3;042910C;042910
OD-267-4;042910D;042910
OD-267-5;042910E;042910
OD-267-6;042910F;042910
OD-267-7;042910G;042910
OD-267-8;042910H;042910
OD-372-1;042910I;042910
OD-373-1;042910J;042910
OD-418-1;042910K;042910
OD-1-531;042920;04
OD-1-532;042930;04
OD-276-1;042931;042930
OD-276-2;042932;042930
OD-276-3;042933;042930
OD-276-4;042934;042930
OD-276-5;042935;042930
OD-276-6;042936;042930
OD-276-7;042937;042930
OD-1-533;042940;04
OD-1-229;05;00
OD-1-706;051100;05
OD-193-1;051100A;051100
OD-1-696;051120;05
OD-272-1;051121;051120
OD-272-2;051122;051120
OD-272-3;051123;051120
OD-272-4;051124;051120
OD-1-707;051140;05
OD-70-1;051141;051140
OD-71-1;051142;051140
OD-72-1;051143;051140
OD-1-708;051150;05
OD-325-1;051150A;051150
OD-325-2;051150B;051150
OD-329-1;051150C;051150
OD-1-709;051160;05
OD-1-710;051170;05
OD-369-1;051170A;051170
OD-1-50;051930;05
OD-1-51;07;00
OD-1-52;078000;07
OD-1-53;078001;07
OD-1-55;078003;07
OD-1-882;078004;078003
OD-1-783;078005;078003
OD-1-784;078006;078003
OD-1-785;078007;078003
OD-1-834;078008;078003
OD-1-786;078100;07
OD-1-787;078101;078100
OD-1-788;078102;078100
OD-1-789;078103;078100
OD-1-790;078104;078100
OD-1-791;078105;078100
OD-1-857;078112;078100
OD-85-1;078113;078100
OD-1-798;078200;07
OD-1-799;078201;078200
OD-1-800;078202;078200
OD-1-801;078203;078200
OD-443-1;078204;078200
OD-1-802;078300;07
OD-1-803;078301;078300
OD-1-804;078302;078300
OD-1-805;078303;078300
OD-1-806;078304;078300
OD-1-64;08;00
OD-1-276;086000;08
OD-1-123;086120;08
OD-509-1;086121;086120
OD-510-1;086122;086120
OD-511-1;086123;086120
OD-512-1;086124;086120
OD-513-1;086125;086120
OD-515-1;086125A;086125
OD-514-1;086126;086120
OD-239-1;086700;08
OD-239-2;086701;086700
OD-239-3;086702;086700
OD-239-4;086703;086700
OD-239-5;086704;086700
OD-239-6;086705;086700
OD-239-7;086706;086700
OD-239-8;086707;086700
OD-1-70;086900;08
OD-1-71;09;00
OD-1-117;092200;09
OD-1-86;092209;09
OD-1-812;092211;09
OD-1-813;092212;092211
OD-1-775;092213;092211
OD-1-814;092214;092211
OD-1-88;092220;09
OD-1-648;092220A;092220
OD-1-655;092220B;092220
OD-1-650;092220C;092220
OD-1-651;092220D;092220
OD-1-652;092220E;092220
OD-1-631;092220I;092220
OD-1-632;092220J;092220
OD-1-634;092220L;092220
OD-1-91;092250;09
OD-1-583;092250A;092250
OD-1-92;092260;09
OD-1-93;092281;09
OD-179-1;092287;09
OD-1-95;092290;09
OD-1-585;092290A;092290
OD-1-461;092290F;092290
OD-1-233;092290P;092290
OD-1-462;092290U;092290
OD-1-97;10;00
OD-1-96;107800;10
OD-1-98;107801;10
OD-1-101;107810;10
OD-1-722;107811;107810
OD-1-744;107812;107810
OD-1-745;107813;107810
OD-1-723;107815;107810
OD-209-1;107816;107810
OD-1-102;107820;10
OD-1-684;107822;107820
OD-1-685;107823;107820
OD-1-715;107824;107820
OD-1-698;107825;107820
OD-1-683;107826;107820
OD-1-741;107827;107820
OD-25-1;107828;107820
OD-25-2;107829;107820
OD-63-1;107831;107820
